date,platform,pillar,format,topic,status,notes
2025-12-15,LI,Scaling for India,Text,The India 2 Trap,drafted,in social/linkedin/
2025-12-16,X,Career Architecture,Thread,PM to CPO Mindset Shift,drafted,in social/x/
2025-12-18,Blog,The AI Product Leader,Article,The AI Native PM Skills Matrix,drafted,in newsletter/drafts/
2025-12-22,LI,AI Product Leader,Text,Latency is the New Downtime,drafted,in social/linkedin/
2025-12-23,X,The AI Product Leader,Thread,Death of the Search Bar,drafted,in social/x/
2025-12-24,LI,IIM Toolkit,Carousel,CRED's 3 Risks Case Study,drafted,in social/linkedin/
2025-12-25,Blog,Scaling for India,Article,The Super App Myth,drafted,in newsletter/drafts/
2025-12-26,LI,Scaling for India,Story,Paytm Scale War Story,drafted,in social/linkedin/
2025-12-29,Blog,Career Architecture,Article,The Chief AI Officer is Temporary,drafted,in newsletter/drafts/
2025-12-30,X,Career Architecture,Thread,Features vs Loops,drafted,in social/x/
