code,name,slug,one_liner,category,status,tier,owner
AP,AI DAW,ap-ai-daw,AI digital audio workstation,creator-tools,idea,,rakesh
UnQ,Market Researcher,unq-market-researcher,Market researcher tool/research copilot,market-research,idea,,rakesh
NMA,Name Generator,nma-name-generator,Name generator,naming,idea,,rakesh
Riley,OF influencers,riley-of-influencers,Tools for OnlyFans influencers,creator-economy,idea,,rakesh
Focusly,Pomodoro app,focusly-pomodoro,Pomodoro focus app,productivity,idea,,rakesh
TML,Try Ons,tml-try-ons,Virtual try-ons,fashion,idea,,rakesh
Rizz,Lifestyle pic generator for dating+social apps,rizz-lifestyle-pics,Lifestyle photo generator for dating + social apps,consumer-ai,idea,,rakesh
Darshan,Live Temples,darshan-live-temples,Live temples / darshan streaming,spirituality,idea,,rakesh
VaaniKosh,Regional language learner,vaanikosh-language-learner,Regional language learning app,edtech,idea,,rakesh
SavePro,Simple MF+FD+Gold saver,savepro-saver,Simple MF + FD + Gold saver,fintech,idea,,rakesh
MediChat,Track Health + AI,medichat-health,Health tracking + AI assistant,health,idea,,rakesh
tweety,X AutoTwitter,tweety-autotwitter,X auto-posting/automation tool,social-tools,idea,,rakesh
JEET,JEE+NEET Prep B2B2C app,jeet-jee-neet,JEE + NEET prep B2B2C app,edtech,idea,,rakesh
Yobi,Options Screener+Trader,yobi-options,Options screener + trader,fintech,idea,,rakesh
PulseFit,Fitness app for coaches,pulsefit-coaches,Fitness app for coaches,fitness,idea,,rakesh
Heya,AI companion,heya-ai-companion,AI companion app,consumer-ai,idea,,rakesh
AICF,AI Cofounder,ai-cofounder,Test + validate ideas with an AI cofounder,founder-tools,idea,,rakesh
Visio,AI smart glasses,visio-smart-glasses,AI smart glasses,hardware,idea,,rakesh
BabyPlay,AI talking plushies for kids,babyplay-plushies,AI talking plushies for kids,toys,idea,,rakesh
Whatsby,WA support+marketing bot,whatsby-whatsapp-bot,WhatsApp support + marketing bot,b2b-saas,idea,,rakesh
AboutAI,AI news aggregator,aboutai-news,AI news aggregator,media,idea,,rakesh
RR,Personal site,rr-personal-site,Personal site/portfolio,brand,active,,rakesh
Agency,Ebook Writer,agency-ebook-writer,Ebook writing agency/content engine,agency,idea,,rakesh
AP-Publish,Ebook publisher,ap-publish,Ebook publisher/publishing workflow,media,idea,,rakesh
AP-play,AI audiobooks + podcasts,ap-play,Audiobooks + podcasts with AI,media,idea,,rakesh
appquest,WebApp BoilerPlate,appquest-boilerplate,Web app boilerplate,dev-tools,idea,,rakesh
entrepreneurs,Personal Founder Sites,entrepreneurs-founder-sites,Personal founder sites service,agency,idea,,rakesh
BuildNative,React Native App Builder,buildnative-rn-builder,React Native app builder,dev-tools,idea,,rakesh


